college_code,college_name,branch_code,branch_name,category,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOPENS,90.4057549
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSCS,84.5242070
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOBCS,87.9526086
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSEBCS,63.0701676
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSTS,34.5790896
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LVJS,76.5404634
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LNT2S,73.8893284
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSEBCS,36.0381755
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDOPENS,14.0490445
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,ORPHAN,86.7801974
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,EWS,72.6095528
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GOPENS,97.4656463
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GOBCS,97.3461799
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSEBCS,93.9913601
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,LOBCS,98.5704193
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,LSEBCS,92.9711565
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,TFWS,97.0497898
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,EWS,96.7175957
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GOPENS,96.2149264
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GSCS,92.5251996
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GSTS,75.5247196
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GVJS,89.9513776
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GNT1S,94.0242686
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GNT2S,93.0771189
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GNT3S,93.0349499
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GOBCS,96.0392321
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GSEBCS,93.0349499
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LOPENS,96.7545639
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LSCS,93.9014758
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LSEBCS,92.7108008
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,TFWS,96.5185052
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,DEFROBCS,80.5358903
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,ORPHAN,82.7820291
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,EWS,94.8243232
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GOPENS,91.6557848
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GSCS,85.3426422
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GSTS,44.5064233
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GNT2S,82.0158422
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GOBCS,89.8015148
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GSEBCS,81.4941569
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,LOPENS,92.0214155
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,LSTS,63.0759599
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,PWDOBCS,50.6340761
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,DEFOPENS,89.8747850
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,TFWS,82.1878954
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,EWS,89.8747850
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GOPENS,93.9575282
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GSTS,60.1504384
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GVJS,86.5601955
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GNT2S,90.1648893
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GNT3S,92.4262209
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GOBCS,93.6811474
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GSEBCS,88.4426131
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LOPENS,94.8950322
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LSCS,92.2801912
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LSTS,59.9791975
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LVJS,81.7098306
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LNT2S,85.0743746
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LOBCS,93.8694333
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LSEBCS,90.4876606
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,PWDOBCS,27.5123271
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,DEFOPENS,77.7634641
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,DEFOBCS,62.8733646
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,TFWS,93.8492553
